,location,dt,tweets,sentiment
23216,leyte,2015-11-24,-0.2756060764795236,-2.0022723864816028
23217,leyte,2015-11-25,-0.3454101273425134,-0.02615391401069584
23218,leyte,2015-11-26,-0.3302353336766461,-1.317024464492302
23219,leyte,2015-11-27,-0.33327029240981954,0.1307638669348478
23220,leyte,2015-11-28,-0.32416541621029915,-1.595533803678653
23221,leyte,2015-11-29,-0.2573963240804828,-1.9202077636561905
23222,leyte,2015-11-30,-0.35148004480886036,-0.05936466310245576
23559,leyte,2016-11-01,-0.3150605400107787,-0.5312686125068383
23560,leyte,2016-11-02,-0.3545150035420338,-0.623101802096337
23561,leyte,2016-11-03,-0.3696897972079012,-1.061667313189063
23562,leyte,2016-11-04,-0.3302353336766461,-2.011069959019239
23563,leyte,2016-11-05,-0.2877459114122175,-1.7625860258828374
23564,leyte,2016-11-06,-0.3393402098761665,-0.33316836595768606
23565,leyte,2016-11-07,-0.1815223557511461,-2.2298510491676873
23566,leyte,2016-11-08,-0.06619392389055426,-1.3896287476917464
23567,leyte,2016-11-09,-0.19669714941701344,-2.6071027009151306
23568,leyte,2016-11-10,-0.10564838742180936,-2.0916691077941008
23569,leyte,2016-11-11,-0.24222153041461547,-2.5295094746629467
23570,leyte,2016-11-12,-0.19669714941701344,-2.1307496430961805
23571,leyte,2016-11-13,-0.3545150035420338,-0.47201664214079314
23572,leyte,2016-11-14,-0.25436136534730935,-1.5851078390753932
23573,leyte,2016-11-15,-0.3545150035420338,-1.5350103847965646
23574,leyte,2016-11-16,-0.28167599394587056,-2.610513379338244
23575,leyte,2016-11-17,-0.26650120028000324,-2.3098047457905526
23576,leyte,2016-11-18,-0.34237516860934,-1.9681006976959265
23577,leyte,2016-11-19,-0.35148004480886036,-1.3480405698321811
23578,leyte,2016-11-20,-0.290780870145391,-2.690133157646839
23579,leyte,2016-11-21,-0.29381582887856444,-1.7522200152124652
23580,leyte,2016-11-22,-0.3059556638112583,-2.186984548265858
23581,leyte,2016-11-23,-0.25132640661413586,-2.4065162331145022
23582,leyte,2016-11-24,-0.11171830488815629,-2.2351613882666785
23583,leyte,2016-11-25,-0.3575499622752073,-2.133415080551889
23584,leyte,2016-11-26,-0.32416541621029915,-1.2570382369236126
23585,leyte,2016-11-27,-0.3970044258064624,-0.12101880915289669
23586,leyte,2016-11-28,-0.3666548384747277,0.21821721112608655
23587,leyte,2016-11-29,-0.3059556638112583,-1.6507090933598818
23588,leyte,2016-11-30,-0.32416541621029915,-1.570610608091953
23924,leyte,2017-11-01,-0.3727247559410746,-0.20742309542739817
23925,leyte,2017-11-02,-0.3757597146742481,0.8575226149588789
23926,leyte,2017-11-03,-0.3393402098761665,-0.8909412138503204
23927,leyte,2017-11-04,-0.3666548384747277,-1.3257808505519622
23928,leyte,2017-11-05,-0.3666548384747277,-0.03056458900460975
23929,leyte,2017-11-06,-0.36361987974155424,-0.8924321486442665
23930,leyte,2017-11-07,-0.36058492100838074,-0.8550696635301573
23931,leyte,2017-11-08,-0.34237516860934,-0.9405766523523158
23932,leyte,2017-11-09,-0.3575499622752073,0.12268162199697889
23933,leyte,2017-11-10,-0.3454101273425134,-1.368208203924253
23934,leyte,2017-11-11,-0.33327029240981954,0.08534003643089767
